Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-09-10 00:00:00+03:00,387.0,387.0,381.0,381.0,381.0,6557,0.0,0.0
2025-09-11 00:00:00+03:00,381.0,381.0,375.0,375.0,375.0,6432,0.0,0.0
2025-09-12 00:00:00+03:00,375.5,375.5,373.0,375.0,375.0,6217,0.0,0.0
2025-09-15 00:00:00+03:00,375.0,405.0,375.0,405.0,405.0,7471,0.0,0.0
2025-09-16 00:00:00+03:00,405.0,407.75,405.0,406.75,406.75,12511,0.0,0.0
2025-09-17 00:00:00+03:00,406.75,406.75,405.75,405.75,405.75,9927,0.0,0.0
2025-09-18 00:00:00+03:00,401.5,401.5,401.0,401.0,401.0,7169,0.0,0.0
2025-09-19 00:00:00+03:00,399.0,399.0,390.25,394.5,394.5,4495,0.0,0.0
2025-09-22 00:00:00+03:00,401.0,410.0,401.0,407.0,407.0,7408,0.0,0.0
2025-09-23 00:00:00+03:00,400.0,400.0,388.25,388.25,388.25,5811,0.0,0.0
2025-09-24 00:00:00+03:00,388.0,388.0,377.0,380.0,380.0,7979,0.0,0.0
2025-09-25 00:00:00+03:00,382.0,382.0,373.0,373.25,373.25,5497,0.0,0.0
2025-09-26 00:00:00+03:00,376.0,382.0,376.0,382.0,382.0,5138,0.0,0.0
2025-09-29 00:00:00+03:00,376.75,376.75,376.5,376.5,376.5,4105,0.0,0.0
2025-09-30 00:00:00+03:00,376.5,376.5,374.0,376.0,376.0,4080,0.0,0.0
2025-10-01 00:00:00+03:00,376.25,376.25,361.25,370.0,370.0,7192,0.0,0.0
2025-10-02 00:00:00+03:00,360.0,365.0,360.0,365.0,365.0,6903,0.0,0.0
2025-10-03 00:00:00+03:00,365.0,365.0,357.75,361.0,361.0,4040,0.0,0.0
2025-10-06 00:00:00+03:00,361.0,361.0,360.75,360.75,360.75,4385,0.0,0.0
2025-10-07 00:00:00+03:00,360.75,361.0,360.75,361.0,361.0,5342,0.0,0.0
2025-10-08 00:00:00+03:00,376.0,376.0,368.0,368.0,368.0,4518,0.0,0.0
2025-10-09 00:00:00+03:00,367.75,367.75,365.0,365.0,365.0,7143,0.0,0.0
2025-10-10 00:00:00+03:00,365.25,365.25,360.0,360.0,360.0,5230,0.0,0.0
2025-10-13 00:00:00+03:00,360.0,360.0,348.0,350.0,350.0,5720,0.0,0.0
2025-10-14 00:00:00+03:00,355.75,355.75,330.0,351.0,351.0,4762,0.0,0.0
2025-10-15 00:00:00+03:00,367.25,367.25,351.0,361.0,361.0,5024,0.0,0.0
2025-10-16 00:00:00+03:00,361.0,361.0,352.0,352.0,352.0,2309,0.0,0.0
2025-10-17 00:00:00+03:00,350.5,350.5,348.5,348.5,348.5,3971,0.0,0.0
2025-10-20 00:00:00+03:00,348.5,348.5,342.0,348.5,348.5,7203,0.0,0.0
2025-10-21 00:00:00+03:00,354.75,355.0,348.5,348.5,348.5,6554,0.0,0.0
2025-10-22 00:00:00+03:00,348.5,348.5,348.0,348.0,348.0,7713,0.0,0.0
2025-10-23 00:00:00+03:00,350.0,350.0,349.0,349.0,349.0,3533,0.0,0.0
2025-10-24 00:00:00+03:00,349.0,374.75,349.0,373.0,373.0,7227,0.0,0.0
2025-10-27 00:00:00+03:00,370.0,370.0,363.5,363.5,363.5,5234,0.0,0.0
2025-10-28 00:00:00+03:00,363.5,363.5,360.0,363.5,363.5,5034,0.0,0.0
2025-10-30 00:00:00+03:00,363.5,363.5,360.0,360.0,360.0,6224,0.0,0.0
2025-10-31 00:00:00+03:00,360.0,360.0,359.0,359.0,359.0,4690,0.0,0.0
2025-11-03 00:00:00+03:00,343.25,361.25,343.25,361.0,361.0,9123,0.0,0.0
2025-11-04 00:00:00+03:00,359.0,359.0,350.0,350.0,350.0,6780,0.0,0.0
2025-11-05 00:00:00+03:00,350.0,350.0,345.25,345.5,345.5,9468,0.0,0.0
2025-11-06 00:00:00+03:00,345.5,347.0,345.5,347.0,347.0,5966,0.0,0.0
2025-11-07 00:00:00+03:00,370.0,370.0,355.0,355.0,355.0,6360,0.0,0.0
2025-11-10 00:00:00+03:00,345.25,352.0,345.25,352.0,352.0,9929,0.0,0.0
2025-11-11 00:00:00+03:00,352.25,352.25,336.25,336.25,336.25,10769,0.0,0.0
2025-11-12 00:00:00+03:00,339.25,339.25,337.0,337.5,337.5,5451,0.0,0.0
2025-11-13 00:00:00+03:00,337.5,356.0,337.5,354.0,354.0,7912,0.0,0.0
2025-11-14 00:00:00+03:00,350.0,350.0,345.0,345.0,345.0,4144,0.0,0.0
2025-11-17 00:00:00+03:00,345.0,350.0,345.0,350.0,350.0,5855,0.0,0.0
2025-11-18 00:00:00+03:00,345.5,345.5,343.5,343.5,343.5,5004,0.0,0.0
2025-11-19 00:00:00+03:00,346.0,355.25,346.0,355.25,355.25,8003,0.0,0.0
2025-11-20 00:00:00+03:00,355.25,355.25,340.25,354.0,354.0,3714,0.0,0.0
2025-11-21 00:00:00+03:00,350.0,350.5,342.0,350.5,350.5,5466,0.0,0.0
2025-11-24 00:00:00+03:00,350.0,350.0,343.5,343.5,343.5,8001,0.0,0.0
2025-11-25 00:00:00+03:00,350.0,350.0,342.5,342.5,342.5,5740,0.0,0.0
2025-11-26 00:00:00+03:00,338.25,341.75,338.25,339.25,339.25,3078,0.0,0.0
2025-11-27 00:00:00+03:00,349.0,349.0,340.0,340.0,340.0,2573,0.0,0.0
2025-11-28 00:00:00+03:00,340.0,340.0,337.0,337.0,337.0,4791,0.0,0.0
2025-12-01 00:00:00+03:00,337.0,339.0,335.75,335.75,335.75,10846,0.0,0.0
2025-12-02 00:00:00+03:00,333.75,333.75,321.75,321.75,321.75,14574,0.0,0.0
2025-12-03 00:00:00+03:00,320.0,330.0,320.0,325.0,325.0,8447,0.0,0.0
2025-12-04 00:00:00+03:00,333.25,333.25,317.0,320.5,320.5,7814,0.0,0.0
2025-12-05 00:00:00+03:00,320.5,335.5,320.5,334.0,334.0,3932,0.0,0.0
2025-12-08 00:00:00+03:00,333.75,337.25,333.75,337.25,337.25,6578,0.0,0.0
2025-12-09 00:00:00+03:00,338.75,339.0,324.25,330.0,330.0,6733,0.0,0.0
2025-12-10 00:00:00+03:00,327.0,331.0,327.0,331.0,331.0,3002,0.0,0.0
2025-12-11 00:00:00+03:00,330.0,331.0,328.5,328.5,328.5,2956,0.0,0.0
2025-12-12 00:00:00+03:00,330.25,331.25,329.75,329.75,329.75,4700,0.0,0.0
2025-12-15 00:00:00+03:00,329.75,329.75,329.0,329.0,329.0,3975,0.0,0.0
2025-12-16 00:00:00+03:00,327.25,327.25,325.0,325.75,325.75,2503,0.0,0.0
2025-12-17 00:00:00+03:00,325.0,325.0,316.5,316.5,316.5,6734,0.0,0.0
2025-12-18 00:00:00+03:00,316.0,320.0,316.0,320.0,320.0,6526,0.0,0.0
2025-12-19 00:00:00+03:00,320.25,320.25,308.5,315.75,315.75,4277,0.0,0.0
2025-12-22 00:00:00+03:00,316.25,318.0,316.0,318.0,318.0,6081,0.0,0.0
2025-12-23 00:00:00+03:00,325.0,325.0,319.0,319.0,319.0,5867,0.0,0.0
2025-12-24 00:00:00+03:00,319.0,319.0,316.0,318.75,318.75,5455,0.0,0.0
2025-12-25 00:00:00+03:00,320.0,325.0,320.0,325.0,325.0,4704,0.0,0.0
2025-12-26 00:00:00+03:00,325.0,325.0,322.5,322.5,322.5,3889,0.0,0.0
2025-12-29 00:00:00+03:00,308.0,335.0,308.0,332.0,332.0,8599,0.0,0.0
2025-12-30 00:00:00+03:00,332.0,332.0,325.0,325.25,325.25,8068,0.0,0.0
2025-12-31 00:00:00+03:00,326.25,345.5,326.25,344.0,344.0,9832,0.0,0.0
2026-01-02 00:00:00+03:00,350.5,350.5,349.0,349.0,349.0,6509,0.0,0.0
2026-01-05 00:00:00+03:00,346.25,346.25,339.5,339.5,339.5,3908,0.0,0.0
2026-01-06 00:00:00+03:00,339.5,339.5,334.5,334.5,334.5,7826,0.0,0.0
2026-01-07 00:00:00+03:00,334.0,334.0,329.0,329.0,329.0,8356,0.0,0.0
2026-01-08 00:00:00+03:00,328.75,328.75,325.5,326.5,326.5,4639,0.0,0.0
2026-01-09 00:00:00+03:00,326.5,347.0,326.5,340.0,340.0,5317,0.0,0.0
2026-01-12 00:00:00+03:00,355.0,355.0,348.75,348.75,348.75,10064,0.0,0.0
2026-01-13 00:00:00+03:00,348.75,350.0,348.75,349.0,349.0,4817,0.0,0.0
2026-01-14 00:00:00+03:00,344.25,344.25,343.0,343.0,343.0,5903,0.0,0.0
2026-01-15 00:00:00+03:00,330.0,335.0,330.0,335.0,335.0,8871,0.0,0.0
2026-01-16 00:00:00+03:00,326.75,333.0,326.75,333.0,333.0,5230,0.0,0.0
2026-01-19 00:00:00+03:00,340.0,340.0,337.25,337.25,337.25,4665,0.0,0.0
2026-01-20 00:00:00+03:00,332.0,332.0,327.5,331.0,331.0,8683,0.0,0.0
2026-01-21 00:00:00+03:00,331.0,331.0,324.25,324.25,324.25,3413,0.0,0.0
2026-01-22 00:00:00+03:00,325.0,327.5,325.0,327.5,327.5,4621,0.0,0.0
2026-01-23 00:00:00+03:00,327.5,327.5,327.25,327.25,327.25,7089,0.0,0.0
2026-01-26 00:00:00+03:00,327.0,327.0,326.0,326.0,326.0,6770,0.0,0.0
2026-01-27 00:00:00+03:00,326.0,326.0,321.5,321.5,321.5,6536,0.0,0.0
2026-01-28 00:00:00+03:00,321.5,322.5,321.5,322.5,322.5,11375,0.0,0.0
2026-01-29 00:00:00+03:00,325.5,325.5,325.25,325.25,325.25,9039,0.0,0.0
2026-01-30 00:00:00+03:00,325.5,331.75,325.5,331.75,331.75,5083,0.0,0.0
2026-02-02 00:00:00+03:00,334.0,336.25,334.0,336.0,336.0,8138,0.0,0.0
2026-02-03 00:00:00+03:00,346.0,353.25,346.0,353.25,353.25,11011,0.0,0.0
2026-02-04 00:00:00+03:00,355.0,364.75,328.5,364.0,364.0,11367,0.0,0.0
2026-02-05 00:00:00+03:00,356.5,356.5,344.75,344.75,344.75,13374,0.0,0.0
2026-02-06 00:00:00+03:00,344.25,344.25,344.0,344.0,344.0,5452,0.0,0.0
2026-02-09 00:00:00+03:00,344.0,359.75,344.0,359.75,359.75,7083,0.0,0.0
2026-02-10 00:00:00+03:00,360.0,364.0,360.0,364.0,364.0,7136,0.0,0.0
2026-02-11 00:00:00+03:00,360.0,360.0,350.0,350.0,350.0,4936,0.0,0.0
2026-02-12 00:00:00+03:00,350.0,353.0,350.0,353.0,353.0,6046,0.0,0.0
2026-02-13 00:00:00+03:00,351.75,371.25,351.75,371.25,371.25,8872,0.0,0.0
2026-02-16 00:00:00+03:00,371.25,387.75,371.25,386.75,386.75,12024,0.0,0.0
2026-02-17 00:00:00+03:00,389.25,389.25,353.75,354.0,354.0,12944,0.0,0.0
2026-02-18 00:00:00+03:00,352.0,352.25,345.0,345.0,345.0,11434,0.0,0.0
2026-02-19 00:00:00+03:00,340.0,354.5,340.0,350.25,350.25,11980,0.0,0.0
2026-02-20 00:00:00+03:00,345.0,355.0,345.0,355.0,355.0,4271,0.0,0.0
2026-02-23 00:00:00+03:00,359.25,359.25,355.5,355.5,355.5,4807,0.0,0.0
2026-02-24 00:00:00+03:00,352.0,352.0,349.0,350.75,350.75,2897,0.0,0.0
2026-02-25 00:00:00+03:00,350.75,350.75,343.5,343.5,343.5,7442,0.0,0.0
2026-02-26 00:00:00+03:00,341.25,341.25,341.0,341.0,341.0,2981,0.0,0.0
2026-02-27 00:00:00+03:00,341.25,341.5,326.75,336.0,336.0,3790,0.0,0.0
2026-03-02 00:00:00+03:00,310.0,317.0,310.0,317.0,317.0,6320,0.0,0.0
2026-03-03 00:00:00+03:00,315.5,320.0,315.5,320.0,320.0,3986,0.0,0.0
2026-03-04 00:00:00+03:00,320.0,320.0,319.5,320.0,320.0,4453,0.0,0.0
2026-03-05 00:00:00+03:00,323.25,329.0,323.25,323.25,323.25,3801,0.0,0.0
2026-03-06 00:00:00+03:00,326.5,326.5,315.0,315.5,315.5,3640,0.0,0.0
2026-03-09 00:00:00+03:00,315.5,315.5,310.0,310.0,310.0,4012,0.0,0.0
2026-03-10 00:00:00+03:00,310.0,325.0,310.0,325.0,325.0,5223,0.0,0.0
2026-03-11 00:00:00+03:00,325.0,326.75,325.0,326.75,326.75,4371,0.0,0.0
2026-03-12 00:00:00+03:00,359.25,359.25,348.0,348.0,348.0,14038,0.0,0.0
2026-03-13 00:00:00+03:00,348.0,348.0,332.25,344.0,344.0,6724,0.0,0.0
2026-03-16 00:00:00+03:00,344.0,344.0,332.5,334.0,334.0,9358,0.0,0.0
2026-03-17 00:00:00+03:00,333.25,344.0,333.25,344.0,344.0,4735,0.0,0.0
2026-03-18 00:00:00+03:00,343.75,343.75,339.0,339.0,339.0,4677,0.0,0.0
2026-03-19 00:00:00+03:00,339.0,339.0,339.0,339.0,339.0,3153,0.0,0.0
2026-03-23 00:00:00+03:00,324.25,335.25,324.25,330.5,330.5,7852,0.0,0.0
2026-03-24 00:00:00+03:00,335.25,335.25,330.25,330.25,330.25,4154,0.0,0.0
2026-03-25 00:00:00+03:00,330.0,331.25,330.0,330.0,330.0,4566,0.0,0.0
2026-03-26 00:00:00+03:00,330.0,330.0,319.75,323.5,323.5,3833,0.0,0.0
2026-03-27 00:00:00+03:00,325.0,325.0,315.0,315.0,315.0,4373,0.0,0.0
2026-03-30 00:00:00+03:00,315.25,321.25,315.25,321.25,321.25,5724,0.0,0.0
2026-03-31 00:00:00+03:00,322.0,322.0,319.0,320.5,320.5,3383,0.0,0.0
2026-04-01 00:00:00+03:00,311.0,321.75,311.0,321.75,321.75,7107,0.0,0.0
2026-04-02 00:00:00+03:00,319.0,321.75,319.0,321.0,321.0,3490,0.0,0.0
2026-04-03 00:00:00+03:00,321.0,323.75,321.0,322.25,322.25,3642,0.0,0.0
2026-04-06 00:00:00+03:00,325.0,330.0,325.0,330.0,330.0,7550,0.0,0.0
2026-04-07 00:00:00+03:00,331.0,331.0,320.25,325.25,325.25,2063,0.0,0.0
2026-04-08 00:00:00+03:00,357.25,357.25,325.25,331.25,331.25,7336,0.0,0.0
2026-04-09 00:00:00+03:00,325.0,325.5,325.0,325.5,325.5,13471,0.0,0.0
2026-04-10 00:00:00+03:00,325.5,330.25,325.5,325.5,325.5,8182,0.0,0.0
2026-04-13 00:00:00+03:00,325.5,325.5,320.0,320.0,320.0,4938,0.0,0.0
2026-04-14 00:00:00+03:00,325.0,340.0,325.0,328.25,328.25,8598,0.0,0.0
2026-04-15 00:00:00+03:00,320.0,332.0,320.0,331.75,331.75,10528,0.0,0.0
2026-04-16 00:00:00+03:00,331.75,333.0,330.0,330.0,330.0,4327,0.0,0.0
2026-04-17 00:00:00+03:00,330.0,340.25,330.0,339.25,339.25,12326,0.0,0.0
2026-04-20 00:00:00+03:00,338.0,338.0,332.25,332.25,332.25,9572,0.0,0.0
2026-04-21 00:00:00+03:00,329.25,329.25,328.5,329.0,329.0,6790,0.0,0.0
2026-04-22 00:00:00+03:00,328.0,342.25,328.0,341.25,341.25,6316,0.0,0.0
2026-04-24 00:00:00+03:00,339.0,339.0,333.75,334.25,334.25,4555,0.0,0.0
2026-04-27 00:00:00+03:00,327.5,328.5,327.5,328.5,328.5,7230,0.0,0.0
2026-04-28 00:00:00+03:00,328.75,328.75,320.75,320.75,320.75,4261,0.0,0.0
2026-04-29 00:00:00+03:00,320.75,320.75,319.5,319.5,319.5,10800,0.0,0.0
2026-04-30 00:00:00+03:00,319.5,319.5,319.25,319.5,319.5,4796,0.0,0.0
2026-05-04 00:00:00+03:00,323.75,323.75,315.5,319.5,319.5,10482,0.0,0.0
2026-05-05 00:00:00+03:00,319.5,319.5,318.0,318.0,318.0,8861,0.0,0.0
